title,tags,game_url,img_url
Dirft,"['格斗', '本地多人', '科幻']",https://www.gcores.com/games/81330,"https://image.gcores.com/664da80f-9177-4272-90a7-61d898fdcce6.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
未完成的地心漫游,"['独立游戏', '平台', '横版', '像素', '科幻']",https://www.gcores.com/games/81340,"https://image.gcores.com/9b26794b-fb49-4e17-bb59-c28b888600e3.jpg?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
未知之物,"['解谜', '竞速', '单人', '休闲', '卡通', '手绘']",https://www.gcores.com/games/81341,"https://image.gcores.com/2d3cbe52-aa60-415a-aa39-cd7d8c64a3d9.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
黄昏列车,"['文字', '视觉小说', '独立游戏', '奇幻', '新怪谈', '幻想']",https://www.gcores.com/games/81357,"https://image.gcores.com/35d5a1e4-d8cd-4331-9816-99eb0e2f8cbb.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
G.T.C53,"['解谜', '科幻', '单人', '文字', '像素', '80年代']",https://www.gcores.com/games/81382,"https://image.gcores.com/d5f9cdbb-7971-4780-997b-056877b9baa3.jpg?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
如影随形,"['平台', '独立游戏', '本地多人', '像素', '幻想']",https://www.gcores.com/games/81328,"https://image.gcores.com/62e3d4d7-5e55-44b8-9a9a-23331b4866a4.jpg?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
奇遇八通线,"['冒险', '单人', '横版', '平台', '像素', '奇幻', '青春', '现实']",https://www.gcores.com/games/81332,"https://image.gcores.com/a5f1e159-adf6-488b-b91f-b3a0ce4ff599.gif?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
E X I T,"['单人', '冒险', '横版', '像素']",https://www.gcores.com/games/81338,"https://image.gcores.com/2a20efc6-9974-4c7b-8e80-c25e9cd0b91a.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
AS-00序章,"['单人', '新怪谈']",https://www.gcores.com/games/81344,"https://image.gcores.com/ddf3fbb2-8e98-472d-89c9-22034cb5d961.png?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
Nice Somewhere Take Me,"['竞速', '生存', '单人', '科幻', '像素']",https://www.gcores.com/games/81348,"https://image.gcores.com/39451a8a-e4ef-4158-b462-df7b120f4938.gif?x-oss-process=image/resize,limit_1,m_fill,w_185,h_110/quality,q_90"
